solver_type,solution_found,time_elapsed,max_memory_mb,avg_memory_mb,states_processed,moves,seed
gready-single-core,1,0.111962684,89.85546875,89.85546875,108,88,6267e75c9fb337c7
gready-single-core,1,0.187674367,90.54296875,90.54296875,335,85,36b53273a67d93cf
gready-single-core,0,150.226369681,960.08203125,548.3706218540268,300000,0,d9f7ee923888115d
gready-single-core,1,10.322477352,246.4765625,143.06760817307693,15141,112,c8cd0bee7c854864
gready-single-core,1,0.127123221,136.35546875,136.35546875,114,88,025dd0e7f3e3f28b
gready-single-core,1,0.18628842,137.21875,137.21875,235,96,59e39418e32d36ce
gready-single-core,1,0.114567572,138.5625,138.5625,181,86,25ec6224f24faf1e
gready-single-core,0,209.729762656,1751.9375,1004.4972826086956,300000,0,f689c1bb4bf42b36
gready-single-core,1,132.107717889,2396.96484375,864.9577833850932,255488,108,41f218d376c8a855
gready-single-core,1,0.726884733,95.27734375,80.52734375,585,102,fd4c41d0e83647c7
gready-single-core,0,179.200052461,1303.375,755.7422752808989,300000,0,1c63c045c4614d96
gready-single-core,1,0.086177773,131.546875,131.546875,120,78,b9d2bed6814349a5
gready-single-core,1,1.052617948,134.81640625,133.50390625,1817,105,307972f08e48a16f
gready-single-core,1,12.077678655,256.53125,133.42083333333332,12212,88,3d45e8c8172afea6
gready-single-core,1,3.035861439,155.9765625,143.9140625,9185,92,3cf0e6657132c9a4
gready-single-core,1,0.210118786,142.2109375,142.2109375,264,93,d2305b4599aae68b
gready-single-core,1,0.147865052,142.92578125,142.92578125,175,96,6219e2faef38738c
gready-single-core,1,0.170254968,142.71484375,142.71484375,226,102,d99a1dbbd3bd9ee4
gready-single-core,1,0.065872241,142.6640625,142.6640625,86,73,eb4c7204fb247760
gready-single-core,1,0.079403711,142.80859375,142.80859375,133,82,38673ab7dbd16065
gready-single-core,1,0.38278245,142.80859375,142.80859375,383,106,71f9defb786c6f28
gready-single-core,0,266.516327794,2448.33984375,1356.8550528754754,300000,0,59546312dd77e92a
gready-single-core,1,1.031184816,90.2421875,86.9921875,1234,130,f3083e11fc66ca48
gready-single-core,1,0.088949988,85.15625,85.15625,126,92,8e919d08b0805f59
gready-single-core,1,21.029240635,524.9375,256.8996394230769,53412,129,0d7ce2a57fb43382
gready-single-core,0,174.52834391,981.078125,556.3924313583815,300000,0,33a3b9f4bfff113c
gready-single-core,1,0.151839262,74.078125,74.078125,201,82,c526a4f70ad41f98
gready-single-core,1,39.051697792,561.80859375,198.29857336956522,65399,103,dfd1af5e985e4ff0
gready-single-core,1,0.171805185,60.484375,60.484375,212,101,8a8742806e3f2ec3
gready-single-core,1,0.317786077,74.61328125,74.61328125,307,95,9e3be978fc3df5d2
gready-single-core,1,0.250578414,73.75,73.75,214,90,2693befa53dc03dc
gready-single-core,1,0.462352362,59.6640625,59.6640625,455,109,87b7a35c0ed8cf20
gready-single-core,1,0.180986749,59.01171875,59.01171875,176,84,b734cc70ad7bb924
gready-single-core,1,0.595738425,74.9140625,74.9140625,531,95,64efbef17e1a774f
gready-single-core,1,0.253015757,61.328125,61.328125,246,115,3fa935d1af8f8bcc
gready-single-core,1,0.093337792,74.16015625,74.16015625,107,93,2997335d10c1af95
gready-single-core,1,0.455077758,74.48046875,74.48046875,463,119,406606e690c9f5d3
gready-single-core,1,0.889439208,92.3203125,83.1953125,525,84,7ce69c256ad912e4
gready-single-core,1,0.719202251,76.1015625,76.1015625,1097,117,dfd7794111b218e6
gready-single-core,1,0.144383064,77.29296875,77.29296875,101,88,def4ac4d2ee8cc86
gready-single-core,1,0.481661139,77.6484375,77.6484375,517,101,7c2c49ac3ee65d15
gready-single-core,1,28.113460223,553.33984375,267.8211410984849,42734,132,d27d91927b25b6f8
gready-single-core,1,8.803348138,297.94921875,143.15944602272728,10631,98,87fc94d5a41fa168
gready-single-core,1,0.257430618,69.984375,69.984375,327,96,9312deb1b66cbf3b
gready-single-core,1,0.582267422,71.90625,71.90625,619,110,2e98e605d7826021
gready-single-core,1,0.132247693,72.62109375,72.62109375,124,94,a8dbb57ea28eeead
gready-single-core,1,13.649546643,402.76171875,254.094482421875,17197,109,7287ab23a74a32ee
gready-single-core,1,0.118050371,203.6171875,203.6171875,203,82,9090f385da179f9c
gready-single-core,1,0.150363697,203.6171875,203.6171875,142,97,1e9272cbdf2f2de7
gready-single-core,1,0.226904579,204.3125,204.3125,276,101,f627d12056381281
gready-single-core,1,12.560739204,441.1484375,281.2314453125,11614,94,8e3193e402c28978
gready-single-core,1,0.134973007,210.10546875,210.10546875,192,92,988fafc9bf00c1f6
gready-single-core,1,0.216350846,211.08984375,211.08984375,203,97,8d7c2aa629d50f81
gready-single-core,1,0.166495445,211.38671875,211.38671875,260,98,920e56861ff7cba5
gready-single-core,1,4.717862462,295.40234375,239.44401041666666,5294,104,4c78832e128558af
gready-single-core,1,147.389889159,2050.5546875,671.7181721523668,185781,100,02eb4ed75424c461
gready-single-core,1,0.393319053,58.69921875,58.69921875,359,103,25a17e7e78204b10
gready-single-core,1,0.115921084,58.69140625,58.69140625,181,98,852a51b07ab1807f
gready-single-core,1,1.22103917,63.8984375,61.9609375,1325,103,539b662d5020889a
gready-single-core,1,3.110326954,137.15625,88.23125,2436,117,6d640b2efb602fbc
gready-single-core,1,0.110766521,82.765625,82.765625,118,79,9f0aaf2a68284df3
gready-single-core,0,202.082440356,1197.8671875,630.6969613693467,300000,0,b48bde93604c0c8f
gready-single-core,1,3.165407823,80.3671875,68.3671875,6377,117,23e2a6766d14a6c9
gready-single-core,1,0.088750047,68.3203125,68.3203125,110,87,8d4fc603235ba3d3
gready-single-core,1,0.191054795,68.37109375,68.37109375,140,86,2d70962ff6085437
